Store_id,MAE_AutoArima,WAPE_AutoArima,MAE_MeanMethod,WAPE_MeanMethod
1,1666.6361575570832,3.579784644533917e-05,3125.0297619047606,6.712283004693536e-05
2,2980.7255415224085,6.402330511509077e-05,5552.75,0.00011926807836733788
3,3225.279324244698,6.927610052686887e-05,6567.875,0.00014107205082290384
4,4297.064193626968,9.229707604249832e-05,6714.369047619048,0.00014421861127525214
5,3485.93248166089,7.48746960345738e-05,5243.625,0.00011262835125459134
6,2908.152399050435,6.2464499254263e-05,5338.317460317461,0.000114662260178627
7,4273.806877433451,9.179752979777594e-05,8385.628968253968,0.0001801157719949814
8,5354.776549102302,0.00011501578660986294,7213.123015873017,0.00015493139815954098
9,3752.3615626593573,8.059735318857187e-05,7216.005952380952,0.00015499332104412192
10,2428.9614639138576,5.217190873518918e-05,4678.896825396825,0.00010049849772529232
11,5003.225365400896,0.00010746478321013672,6175.170634920633,0.00013263711408174287
12,6234.00460727209,0.00013390081491917929,9518.5,0.00020444882336491027
13,2985.2250000000013,6.411994943841092e-05,7230.694444444444,0.00015530881664945742
14,3152.168577491966,6.770574740936865e-05,3960.375,8.506529482941709e-05
15,5365.387168220136,0.0001152436931701208,6799.875,0.00014605520226700314
16,3734.136620663157,8.020589781776589e-05,4909.75,0.00010545701639080404
17,5023.708882253216,0.00010790475073851115,7332.75,0.00015750087824016872
18,3756.020698020568,8.067594812675884e-05,5986.819444444444,0.00012859149982821165
19,5079.910149009211,0.00010911190342642214,6171.25,0.00013255290236809396
20,2632.852188709594,5.655129821667334e-05,14409.079365079362,0.00030949407175102006
21,5279.446567509591,0.00011339776632297632,7069.0,0.0001518357653376636
22,2663.875,5.7217640315301816e-05,8113.829365079364,0.00017427776085245921
23,4067.778508698181,8.737222564610102e-05,6049.125,0.0001299297671520999
24,5224.5279148362515,0.00011221816303255764,9041.25,0.00019419792238777067
25,3145.9868375159003,6.757296919174461e-05,6506.75,0.00013975914077109103
26,4082.508185277297,8.768860585780937e-05,7012.125,0.00015061414146532243
27,6919.176676020088,0.00014861769502192971,11119.625,0.0002388395490370374
28,6126.801305006214,0.00013159818435668614,5662.625,0.00012162809459544309
29,5961.184620850393,0.0001280408868617809,7991.75,0.00017165560583353698
30,1015.8337640150929,2.1819196069468267e-05,7017.569444444444,0.0001507310832377175
31,3578.5664803784953,7.686439105389417e-05,4955.75,0.00010644505503920304
32,1104.762499999999,2.372930537612822e-05,6566.880952380955,0.00014105069957364368
33,3203.511802646325,6.880855373080253e-05,5440.625,0.00011685973416186533
34,4427.090465799991,9.508992348193736e-05,6602.494047619048,0.00014181563684504265
35,7725.621418271333,0.000165939403133721,14481.666666666664,0.00031105318173691674
36,4727.110426650536,0.00010153408253870896,15951.950396825401,0.0003426335545523314
37,3992.736698855992,8.576039502936425e-05,6395.125,0.00013736153611614455
38,4597.887495020514,9.875849013197234e-05,7547.75,0.00016211888496638142
39,7640.242265283267,0.00016410553567894318,5424.5,0.00011651338365739936
40,2588.6821104568203,5.560256464240054e-05,3093.7797619047624,6.645160813905561e-05
41,2091.7651688356477,4.492923543879298e-05,10414.335317460318,0.0002236905606747273
42,5817.098818912846,0.00012494605336178392,8674.25,0.00018631509230163082
43,4051.136260668758,8.701476511894207e-05,6171.625,0.00013256095703098855
44,3633.9080932769775,7.805307914972977e-05,6043.625,0.00012981163209631306
45,2631.5409470099703,5.652313392370333e-05,4815.25,0.00010342724134137566
46,3433.9000000000037,7.375708510298535e-05,6160.740079365078,0.0001323271587207264
47,4849.7304498845615,0.00010416785040876982,7039.625,0.00015120481674425662
48,1979.7534377236937,4.252332414721283e-05,3126.875,6.716246410244825e-05
49,4867.7688112758915,0.00010455529819590943,5274.25,0.0001132861487243135
50,3467.8640570718885,7.448660251697344e-05,5079.5,0.00010910309379440688
51,2468.375,5.3018476059606076e-05,12664.785714285714,0.00027202821216099586
52,1980.9750000000024,4.2549562206787156e-05,6270.083333333334,0.0001346757535220817
53,4233.101588794887,9.09232167897512e-05,4903.75,0.00010532814178449112
54,5051.852122434741,0.00010850924223830517,7301.125,0.0001568216016693944
55,2789.5713450494745,5.991748481250566e-05,5464.232142857143,0.00011736679436884649
56,4360.998562719406,9.367032881694045e-05,7783.327380952382,0.00016717887533745896
57,7035.177716106078,0.00015110929308409144,9319.51785714286,0.00020017486581090795
58,3335.3499999999967,7.164031969429561e-05,13463.759920634922,0.00028918945987723354
